product_id,title,category,brand,price,rating,stock
1,Essence Mascara Lash Princess,beauty,Essence,9.99,2.56,99
2,Eyeshadow Palette with Mirror,beauty,Glamour Beauty,19.99,2.86,34
3,Powder Canister,beauty,Velvet Touch,14.99,4.64,89
4,Red Lipstick,beauty,Chic Cosmetics,12.99,4.36,91
5,Red Nail Polish,beauty,Nail Couture,8.99,4.32,79
6,Calvin Klein CK One,fragrances,Calvin Klein,49.99,4.37,29
7,Chanel Coco Noir Eau De,fragrances,Chanel,129.99,4.26,58
8,Dior J'adore,fragrances,Dior,89.99,3.8,98
9,Dolce Shine Eau de,fragrances,Dolce & Gabbana,69.99,3.96,4
10,Gucci Bloom Eau de,fragrances,Gucci,79.99,2.74,91
11,Annibale Colombo Bed,furniture,Annibale Colombo,1899.99,4.77,88
12,Annibale Colombo Sofa,furniture,Annibale Colombo,2499.99,3.92,60
13,Bedside Table African Cherry,furniture,Furniture Co.,299.99,2.87,64
14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,499.99,4.88,26
15,Wooden Bathroom Sink With Mirror,furniture,Bath Trends,799.99,3.59,7
16,Apple,groceries,Unknown,1.99,4.19,8
17,Beef Steak,groceries,Unknown,12.99,4.47,86
18,Cat Food,groceries,Unknown,8.99,3.13,46
19,Chicken Meat,groceries,Unknown,9.99,3.19,97
20,Cooking Oil,groceries,Unknown,4.99,4.8,10
21,Cucumber,groceries,Unknown,1.49,4.07,84
22,Dog Food,groceries,Unknown,10.99,4.55,71
23,Eggs,groceries,Unknown,2.99,2.53,9
24,Fish Steak,groceries,Unknown,14.99,3.78,74
25,Green Bell Pepper,groceries,Unknown,1.29,3.25,33
26,Green Chili Pepper,groceries,Unknown,0.99,3.66,3
27,Honey Jar,groceries,Unknown,6.99,3.97,34
28,Ice Cream,groceries,Unknown,5.49,3.39,27
29,Juice,groceries,Unknown,3.99,3.94,50
30,Kiwi,groceries,Unknown,2.49,4.93,99
31,Lemon,groceries,Unknown,0.79,3.53,31
32,Milk,groceries,Unknown,3.49,2.61,27
33,Mulberry,groceries,Unknown,4.99,4.95,99
34,Nescafe Coffee,groceries,Unknown,7.99,4.82,57
35,Potatoes,groceries,Unknown,2.29,4.81,13
36,Protein Powder,groceries,Unknown,19.99,4.18,80
37,Red Onions,groceries,Unknown,1.99,4.2,82
38,Rice,groceries,Unknown,5.99,3.18,59
39,Soft Drinks,groceries,Unknown,1.99,4.75,53
40,Strawberry,groceries,Unknown,3.99,3.08,46
41,Tissue Paper Box,groceries,Unknown,2.49,2.69,86
42,Water,groceries,Unknown,0.99,4.96,53
43,Decoration Swing,home-decoration,Unknown,59.99,3.16,47
44,Family Tree Photo Frame,home-decoration,Unknown,29.99,4.53,77
45,House Showpiece Plant,home-decoration,Unknown,39.99,4.67,28
46,Plant Pot,home-decoration,Unknown,14.99,3.01,59
